cycle,t_read_ms,t_lane_ms,t_sign_ms,t_control_ms,latency_ms
0,0.18248300011691754,3.5348520000297867,0.030296999739221064,0.026463000267540338,3.7740950001534657
1,0.22605700041822274,2.5685699997666234,0.015480999991268618,0.013981999927636934,2.8240900001037517
2,0.18777900004351977,2.998090000346565,0.01440799996998976,0.007778000053804135,3.2080550004138786
3,0.20483400021475973,2.489421000063885,0.012388999948598212,0.00686999965182622,2.713513999879069
4,0.20594599982359796,2.5549580000188143,0.018259000171383377,0.006740999651810853,2.7859039996656065
5,0.15007499996499973,2.520384000035847,0.014963000012357952,0.005629000042972621,2.691051000056177
6,0.1976680000552733,2.5226799998563365,0.017592999938642606,0.007092000032571377,2.745032999882824
7,0.21151999999347026,3.0693499998051266,0.022870000066177454,0.010277999990648823,3.314017999855423
8,0.1954089998434938,3.68311200008975,0.019519000034051714,0.00886999987415038,3.906909999841446
9,0.2133339999090822,3.6387420000210113,0.01831500003390829,0.007999999979801942,3.8783909999438038
10,0.3415379997022683,3.8663360001010005,0.017500000012660166,0.009278000106860418,4.234651999922789
11,0.20433500003491645,3.661871000076644,0.021203999949648278,0.008241000159614487,3.8956510002208233
12,0.2183530000365863,3.9892249997137696,0.014167000244924566,0.007869999990361976,4.2296149999856425
13,0.2131119999830844,3.4456859998499567,0.018648000150278676,0.00801799978944473,3.6854639997727645
14,0.22105699963503866,3.498686000057205,0.021166000351513503,0.00887099986357498,3.7497799999073322
15,0.128573999973014,3.4691669998210273,0.018649000139703276,0.008758999683777802,3.6251489996175223
16,0.2142610001101275,3.5058889998254017,0.019351999981154222,0.00887100031832233,3.7483730002350057
17,0.20707499970740173,3.5162049998689326,0.01738900027703494,0.008610999884695048,3.7492799997380644
18,0.1469270000598044,3.4104440001101466,0.01575899977979134,0.007630000254721381,3.5807600002044637
19,0.21303799985616934,3.445944999839412,0.017963000118470518,0.006629999916185625,3.6835759997302375
20,0.12924100019517937,3.4652230001483986,0.015462999726878479,0.008185000297089573,3.618112000367546
21,0.20561199971780297,3.4611670002959727,0.01907399973788415,0.007406999884551624,3.6932599996362114
22,0.21713099977205275,3.8942620003581396,0.05059299974163878,0.024315000246133422,4.186301000117965
23,0.21309299972926965,3.52185300016572,0.02070300024570315,0.009407999641553033,3.765056999782246
24,0.22003799995218287,3.527296999891405,0.01929600011862931,0.008296000032714801,3.774926999994932
25,0.13477800030159415,5.494584999723884,0.025149000066448934,0.014369999917107634,5.6688820000090345
26,0.21607500002573943,3.498722000131238,0.020777999907295452,0.007982000170159154,3.743557000234432
27,0.23181599999588798,5.822994000027393,0.019037999663851224,0.009000000318337698,6.08284800000547
28,0.1720010000099137,3.4063890002471453,0.014369999917107634,0.006278000000747852,3.5990380001749145
29,0.22114900002634386,3.449148000072455,0.018462999832991045,0.008463000085612293,3.6972230000174022
30,0.3081499999098014,4.023633000088012,0.05564799994317582,0.024982000013551442,4.41241299995454
31,0.20902000005662558,3.4509629999774916,0.020092000340810046,0.00790799958849675,3.687982999963424
32,0.2654639997672348,3.5280189999866707,0.020296999991842313,0.00964800028668833,3.823428000032436
33,0.22265000006882474,3.441425999881176,0.01716599990686518,0.007686000117246294,3.688927999974112
34,0.22172299986777944,3.474001000085991,0.01964800003406708,0.008296000032714801,3.7236680000205524
35,0.16533500001969514,3.4856479996960843,0.02346300016142777,0.009056000180862611,3.68350200005807
36,0.21507500014195102,3.481518999706168,0.017703000139590586,0.008630000138509786,3.7229270001262194
37,0.2500020000297809,3.447907000008854,0.01620399962121155,0.009426000360690523,3.723539000020537
38,0.13740799977313145,3.4308700001020043,0.014815000213275198,0.00848199988467968,3.5915749999730906
39,0.2195199999732722,3.7015200000496407,0.01650000012887176,0.008499999694322469,3.946039999846107
40,0.17235299992535147,3.4442219998709334,0.01574099997014855,0.009278000106860418,3.641593999873294
41,0.2120199997079908,3.541445000337262,0.016091999896161724,0.008982000053947559,3.7785389999953622
42,0.20627899993996834,3.52722299976449,0.016667000181769254,0.008387999969272641,3.7585569998555
43,0.18579700008558575,4.079096999703324,0.02327800029888749,0.015389000054710777,4.303561000142508
44,0.2163710000786523,3.5135379998791905,0.016463000065414235,0.008667000201967312,3.7550390002252243
45,0.18305699995835312,3.6151670001345337,0.02670399999260553,0.014297000234364532,3.839225000319857
46,0.37533600016104174,3.975854000145773,0.02766699981293641,0.018389000160823343,4.397246000280575
47,0.2568349996181496,3.5423900003479503,0.01907399973788415,0.012204000086057931,3.830502999790042
48,0.20646400025725598,3.4794079997482186,0.016537000192329288,0.009370000043418258,3.711779000241222
